#index | count | Part | Material 
 1 | 6 | top, bottom, sides | 3mm Acryllic
 2 | 1 | bottom Shielding | 149 mm by 124 mm metal sheet, 99.5% aluminum, 0.2mm thickness or: AlMg3, 0.3mm thickness
 3 | 4 | top spacers | 30mm long metal spacer, with 2x internal 3mm thread
 4 | 4 | bottom spacers | 5mm long metal spacer, with 1x internal 3mm thread, 1x external 3mm thread
 5 | 8 | Metric screws top/bottom | M3x5 flat head
 6 | 2 | Metal screws video in | ST2.2x13
 7 | 4 | Metal screws dmx in/out | ST2.9x10
 8 | 3 | Button spacer | 0.5mm Acryllic
 9 | 3 | Button holder | 1.0mm Acryllic
10 | 4 | rubber feet | clear rubber
