ref	value	footprint
C1	27p	SM0402
C2	47p	SM0402
C3	27p	SM0402
C4	47p	SM0402
C10	0.1uF	SM0402
C12	10uF	SM0603
C13	0.1uF	SM0402
C14	2.2uF	SM0402
C15	0.1uF	SM0402
C16	480pF	SM0402
C17	10uF	SM0603
C18	0.1uF	SM0402
C19	3.3uF	SM0603
C20	0.1uF	SM0402
C21	0.1uF	SM0402
C22	0.1uF	SM0402
C23	0.1uF	SM0402
C24	0.1uF	SM0402
C25	0.1uF	SM0402
C26	0.1uF	SM0402
C27	4.7uF	SM0603
C28	0.1uF	SM0402
C29	4.7uF	SM0603
C30	0.1uF	SM0402
C31	4.7nF/250V	SM1206
C32	0.1uF	SM0402
C33	0.1uF	SM0402
C35	0.1uF	SM0402
D2	LED	LED-0603
D3	LED	LED-0603
D4	LED	LED-0603
FB1	FILTER	SM0402
FB2	FILTER	SM0402
FB3	FILTER	SM0402
J1	USB_MINIB	USB_MINIB
P1	UART	SIP-2.54-4
P2	JTAG	IDC-2.0-14-SMD
R1	10K	SM0402
R2	2.2K	SM0402
R3	22	SM0402
R4	22	SM0402
R6	1K	SM0402
R7	220	SM0402
R9	220	SM0402
R12	10K	SM0402
R13	10K	SM0402
R14	12K	SM0402
R15	220	SM0402
R16	1M	SM0402
R17	10K	SM0402
U1	93C46	SOIC-8
U4	MIC5207-3.3	SOT23-5
U5	FT2232HQ	QFN_64
U6	NUP2201	TSOP-6
U7	NUP2201	TSOP-6
U9	SN74LVC1G17	SOT23-5
U10	SN74LVC1G17	SOT23-5
U11	SN74LVC1G17	SOT23-5
X1	12MHz	CRYSTAL_SMD
